티라노사우루스,"강력한 턱에 60개의 이빨을 지니고, 각 이빨은 최대 20cm의 길이를 가졌으며, 무는 힘은 사자보다 15배 강합니다. 트리케라톱스와 에드몬토 사우루스 화석 뼈에 발견된 깨물린 흔적들은 티라노사우루스가 뼈를 꿰뚫 먹을 수 있다는 것을 보여줍니다. 화석화된 티라노사우루스의 대변 분석 결과는 먹이의 뼈를 소화하지 않고 그대로 삼켰다는 것을 알려줍니다. 후각이 좋기 때문에, 죽은 동물의 사체를 찾아 먹기도 하였습니다,  티라노사우루스 무리의 화석이 발견된 적이 없어, 혼자서 사냥을 했을 것으로 추측하고 있습니다."
벨로시랩터,"몸집은 작지만 빠른 속도와 민첩성으로 무리를 지어 몸집이 더 큰 먹잇감을 사냥하였습니다.  날카로운 발톱을 물론, 잘 발달된 뒷다리와 강하고 긴 꼬리를 가지고 있습니다.  또한 긴 꼬리를 길고 납작한 막대기가 지지하고 있어, 빠른 속도를 가지고 있습니다. 고비 사막에서 처음 발견되었으며, 머리가 길어 날카로운 이빨을 많이 가지고 있습니다. 커다란 앞발과 그 앞발에 있는 강력한 무기인 '낫' 형태의 두번째 발톱은 사냥감을 베어낼 수 있는 무기로 사용되었습니다."
이구아노돈,"이구아나의 이빨처럼 생긴 이빨을 가지고 있습니다. 비교적 작은 머리와 주둥이의 제일 끝에는 부리가 있습니다. 뒷발이 잘 발달되어 있고, 이족보행과 사족보행을 하였습니다. 육중한 꼬리는 이구아나돈이 걸을 때 균형을 잡아주는 역할을 하였습니다. 처음에는 코뿔이라고 생각되었던 것이 엄지손가락 끝에 달린 무기로 밝혀졌습니다. 이 삐죽 나온 무기는 포식자에 대항하는 방어용 무기로 사용되었을 것입니다."
안킬로사우루스,"외피에 골편(뼛조각)이 있는 가장 큰 공룡 중 하나로, 두개골부터 꼬리까지 골편이 이어져있습니다. 또한 몸체가 납작해 각도상 포식자가 온전한 힘으로 물기가 어려웠고, 꼬리에 곤봉이 있어 든든한 방어 능력이 있었습니다. 부리 모양의 주둥이로 작물 식물을 주로 섭취하였으며, 매우 큰 소화기관을 가지고 있었습니다."
파키케팔로사우루스,"머리가 꽤나 크며, 두개골에 최대 25cm 두께의 두꺼운 돔을 가지고 있습니다.  두개골의 두께가 이만큼 두꺼운 대신 그 반동으로 뇌의 크기는 달걀만 했을 것으로 추정된다. 시력이 좋고 양안시를 가졌습니다. 두개골에 대해 두 가지 시각이 있는데, 먼저, 목 뒤에 강력한 근육이 충격을 흡수하여, 두개골이 포식자들을 들이받는데 사용했다고 보는 시각이 있습니다. 이에 반하여, 두께에 비해 깨지기 쉽기 때문에, 짝짓기때 수컷이 암컷 앞에 과시하는 용도였다는 시각도 있습니다."
모사사우루스,"거대한 덩치, 강력한 하악골, 그리고 단단한 이빨을 가지고 있어 생태계에서 높은 지위를 가졌을 것입니다. 후각은 약했지만 뛰어난 시력을 가진 포식자였습니다. 추정되는 먹이는 암모나이트, 상어, 장경룡 그리고 다른 모사사우루스가 있습니다. 장경룡의 한 종류로 잘못 알고 있는 경우가 있는데, 실제로는 뱀과에 가까우며, 왕도마뱀과 뱀등과 유사한 점이 많습니다."
인시시보사우루스,"깃털과 부리를 가지고 있는 새를 많이 닮은 공룡입니다. 앞발과 꼬리는 깃털을 가지고 있었으며, 타조와 같이 긴 뒷다리를 가지고 있었습니다. 부리의 앞니가 발달했으며, 작은 머리와 꼬리를 가지고 있습니다. 몸체가 작아, 외부의 공격에 빠르게 돌, 나무, 숲으로 몸을 숨겨 생존했으리라 예상됩니다."
노도사우루스,"단단한 피부로 둘러쌓인 육중한 몸으로 마치 탱크처럼 걸어다녔습니다. 짧은 다리 네개와 다섯 개의 발가락을 가졌습니다. 안킬로사우르스와 먼 친척이기도 한 노도사우르스의 꼬리엔 곤봉이 없고 길고 뻣뻣했습니다. 좁고 뾰족한 주둥이와 작은 이빨로 부드러운 식물을 먹었답니다. 등과 옆구리에 단단한 피부와 가시로 덮여있어 육식 공룡으로부터 자신을 보호할 수 있었습니다."
오비랍토르,"짧은 돔 형태의 머리와 이빨이 없는 부리, 독특한 볏을 가지고 있습니다. 짧고 높은 주둥이에 크게 휜 턱과 넓은 부리, 그리고 턱근육을 가지고 있어 무는 힘이 매우 강했을 것으로 추정하며, 도마뱀을 먹이로 했습니다. 오비랍토르의 공룡알과 둥지는 공룡이 알을 낳는다는 것을 보여준 최초의 증거였으며, 알의 크기는 핫도그 빵 정도의 크기입니다. 알을 훔쳐먹다가 화석이 된 것으로 추정하여 알도둑이라는 뜻의 이름을 가지게 되었습니다."
스피노사우루스,"두개골이 악어의 두개골처럼 생겼고, 물고기를 먹이로 하였습니다. 주둥이가 악어와 비슷하게 길고 평평하며, 주둥이 안으로는 날카로운 이빨을 가지고 있습니다.  악어와 비슷한 생김새로 물고기를 주로 잡아먹거나 죽은 동물을 먹었을 것으로 추측하고 있습니다.
등 위로 최대 1.5m가 넘는 길이의 가시 같은 돛 모양의 돌기를 가지고 있습니다. 이 돌기로 몸집을 더 크고 무서워보이게 하고 체온 조절을 했을 뿐만 아니라, 가시들 사이 연결된 피부 색깔로 의사소통을 하였습니다. 북아프리카 지역에서 발견된 화석은 부채 모양의 돛을 가지고 있기도 합니다."
